symbol,price,price_change,price_percent_change
BZ,15.25 +0.53 (+3.60%),0.53,+3.60%
SNOW,189.11 +6.57 (+3.60%),6.57,+3.60%
ASAN,21.93 +0.76 (+3.59%),0.76,+3.59%
NBIS,34.50 +1.19 (+3.57%),1.19,+3.57%
SLM,29.01 +1.00 (+3.57%),1.0,+3.57%
PENN,20.90 +0.72 (+3.57%),0.72,+3.57%
KTOS,34.38 +1.18 (+3.55%),1.18,+3.55%
SHAK,119.25 +4.08 (+3.54%),4.08,+3.54%
BYDDY,73.30 +2.50 (+3.53%),2.5,+3.53%
ESTC,115.45 +3.93 (+3.52%),3.93,+3.52%
XIACY,25.66 +0.87 (+3.51%),0.87,+3.51%
FLEX,41.92 +1.42 (+3.51%),1.42,+3.51%
LUMN,5.04 +0.17 (+3.49%),0.17,+3.49%
CBU,66.64 +2.24 (+3.48%),2.24,+3.48%
PBA,36.35 +1.22 (+3.47%),1.22,+3.47%
HRI,204.07 +6.83 (+3.46%),6.83,+3.46%
ACI,20.25 +0.67 (+3.42%),0.67,+3.42%
PFS,18.85 +0.62 (+3.40%),0.62,+3.40%
BEP,21.65 +0.71 (+3.39%),0.71,+3.39%
FFIN,38.19 +1.25 (+3.38%),1.25,+3.38%
PI,126.55 +4.14 (+3.38%),4.14,+3.38%
BANF,120.48 +3.94 (+3.38%),3.94,+3.38%
STM,22.37 +0.73 (+3.37%),0.73,+3.37%
WK,100.55 +3.26 (+3.35%),3.26,+3.35%
UEC,7.10 +0.23 (+3.35%),0.23,+3.35%
MIRM,50.21 +1.62 (+3.33%),1.62,+3.33%
UFPT,279.74 +8.91 (+3.29%),8.91,+3.29%
GRP-UN,47.11 +1.49 (+3.27%),1.49,+3.27%
UNF,222.34 +7.03 (+3.27%),7.03,+3.27%
HTH,31.01 +0.98 (+3.26%),0.98,+3.26%
RSI,14.91 +0.47 (+3.25%),0.47,+3.25%
HAL,26.34 +0.83 (+3.25%),0.83,+3.25%
CNQ,30.99 +0.97 (+3.23%),0.97,+3.23%
FTI,31.12 +0.97 (+3.22%),0.97,+3.22%
NE,32.45 +1.01 (+3.21%),1.01,+3.21%
